suburb,point
Lincoln Park,"41.9295,-87.6431"
Near West Side,"41.8846,-87.6446"
Lake View,"41.9542,-87.6545"
Lake View,"41.9437,-87.6489"
West Town,"41.9103,-87.6701"
Lake View,"41.9376,-87.6441"
Loop,"41.8788,-87.6355"
,"41.8926,-87.6144"
Lincoln Park,"41.9324,-87.6527"
Near North Side,"41.891,-87.6355"
Near West Side,"41.8671,-87.641"
Near North Side,"41.8961,-87.6307"
Near West Side,"41.8819,-87.6488"
Loop,"41.8728,-87.624"
Loop,"41.8836,-87.6237"
West Town,"41.8964,-87.661"
Lincoln Park,"41.9105,-87.6531"
Lake View,"41.9394,-87.6684"
Lincoln Park,"41.9105,-87.6531"
Logan Square,"41.9185,-87.6974"
Near West Side,"41.882,-87.6396"
West Town,"41.9094,-87.6777"
Uptown,"41.9695,-87.6547"
West Pullman,"41.6849,-87.6453"
Lake View,"41.9544,-87.648"
Near South Side,"41.8578,-87.6246"
,"41.9096,-87.6481"
Near West Side,"41.8652,-87.6665"
West Town,"41.9077,-87.6726"
Near West Side,"41.8783,-87.6439"
Lake View,"41.9544,-87.648"
Lincoln Park,"41.9222,-87.6389"
Near West Side,"41.8671,-87.6411"
Lincoln Park,"41.9183,-87.6363"
Lake View,"41.949,-87.6487"
Near West Side,"41.8794,-87.6403"
Near North Side,"41.8984,-87.6219"
Lake View,"41.9437,-87.664"
,"41.9488,-87.6753"
Lincoln Park,"41.9291,-87.6491"
Near West Side,"41.8713,-87.6737"
Uptown,"41.9738,-87.6597"
Uptown,"41.9579,-87.6495"
,"41.8923,-87.612"
Edgewater,"41.984,-87.6603"
Near North Side,"41.8958,-87.6259"
Loop,"41.881,-87.6167"
Near West Side,"41.8819,-87.6488"
,"41.8974,-87.6234"
Loop,"41.8726,-87.6335"
,"41.9359,-87.6784"
Near South Side,"41.8563,-87.6134"
,"41.8982,-87.6374"
West Town,"41.8955,-87.682"
Loop,"41.8821,-87.6251"
Edgewater,"41.978,-87.668"
Lake View,"41.9528,-87.65"
West Ridge,"41.9837,-87.6964"
Lincoln Park,"41.9295,-87.6431"
,"41.9488,-87.6753"
Lincoln Park,"41.9256,-87.6537"
Lincoln Square,"41.9691,-87.6742"
,"41.8897,-87.6367"
,"41.8892,-87.6278"
Lake View,"41.9509,-87.6592"
West Town,"41.9078,-87.6858"
Near West Side,"41.8846,-87.6446"
Near West Side,"41.8817,-87.6395"
Near North Side,"41.8958,-87.6259"
Near West Side,"41.8713,-87.6737"
Near West Side,"41.8822,-87.6411"
Near West Side,"41.8835,-87.6411"
West Town,"41.892,-87.6894"
,"41.9023,-87.6277"
Loop,"41.8782,-87.6319"
Uptown,"41.9733,-87.6679"
Lincoln Park,"41.9268,-87.6344"
Logan Square,"41.9175,-87.7018"
Loop,"41.8908,-87.6186"
Near West Side,"41.8776,-87.6496"
Near West Side,"41.8819,-87.6488"
Loop,"41.8679,-87.623"
,"41.908,-87.6315"
Lincoln Park,"41.9199,-87.649"
Lincoln Park,"41.9121,-87.6347"
,"41.8906,-87.6221"
Loop,"41.8728,-87.624"
Logan Square,"41.9227,-87.6971"
Near West Side,"41.873,-87.6691"
,"41.9023,-87.6277"
,"41.9106,-87.6494"
,"41.8892,-87.6384"
Near West Side,"41.8748,-87.6498"
,"41.9106,-87.6494"
Lake View,"41.9455,-87.6464"
